unique_id,ds,LGBMRegressor,y
aguas_claras,2023-12-18,3.077227028642388,3.0
aguas_claras,2023-12-19,2.6155718300061976,3.0
aguas_claras,2023-12-20,2.595277797523817,2.0
aguas_claras,2023-12-21,2.503406672357126,3.0
aguas_claras,2023-12-22,2.626866298386051,2.0
aguas_claras,2023-12-23,2.3692167890938127,3.0
aguas_claras,2023-12-24,2.4499296340253616,0.0
aguas_claras,2023-12-25,3.1402332763401164,2.0
aguas_claras,2023-12-26,2.9588087022750256,6.0
aguas_claras,2023-12-27,2.934163144700269,3.0
aguas_claras,2023-12-28,2.8502499819802294,3.0
aguas_claras,2023-12-29,3.0005529899322294,0.0
aguas_claras,2023-12-30,2.7374817702340426,3.0
aguas_claras,2023-12-31,2.3686304801294025,1.0
aguas_claras,2024-01-01,3.293885255018537,1.0
aguas_claras,2024-01-02,3.03907876952476,1.0
aguas_claras,2024-01-03,2.93946015967634,1.0
aguas_claras,2024-01-04,2.862665766988167,5.0
aguas_claras,2024-01-05,3.131103735090432,4.0
aguas_claras,2024-01-06,2.8764847515516467,1.0
aguas_claras,2024-01-07,2.576104064467422,2.0
aguas_claras,2024-01-08,4.34497836538591,7.0
aguas_claras,2024-01-09,3.876151352130536,6.0
aguas_claras,2024-01-10,3.672130581691754,3.0
aguas_claras,2024-01-11,3.668710539522054,3.0
aguas_claras,2024-01-12,3.9475454079785606,3.0
aguas_claras,2024-01-13,3.504145241594391,5.0
aguas_claras,2024-01-14,3.0654503590791173,2.0
aguas_claras,2024-01-15,4.669311911176858,5.0
aguas_claras,2024-01-16,4.306867298205996,4.0
aguas_claras,2024-01-17,3.983241493626972,8.0
aguas_claras,2024-01-18,3.900290435396208,8.0
aguas_claras,2024-01-19,4.210791723409935,4.0
aguas_claras,2024-01-20,3.7920254183365945,4.0
aguas_claras,2024-01-21,3.293413743386153,3.0
aguas_claras,2024-01-22,4.805805768264252,6.0
aguas_claras,2024-01-23,4.3141437661610285,2.0
aguas_claras,2024-01-24,3.925493769335735,10.0
aguas_claras,2024-01-25,3.9211730787140073,5.0
aguas_claras,2024-01-26,4.1549624478805915,6.0
aguas_claras,2024-01-27,3.628538292995731,4.0
aguas_claras,2024-01-28,3.179857522355926,1.0
aguas_claras,2024-01-29,4.831227103524306,8.0
aguas_claras,2024-01-30,4.292687962792914,9.0
aguas_claras,2024-01-31,3.983241493626972,11.0
aguas_claras,2024-02-01,3.6647261662820827,13.0
aguas_claras,2024-02-02,3.8671138670376197,14.0
aguas_claras,2024-02-03,3.3916200953039004,6.0
aguas_claras,2024-02-04,2.8591695927397045,6.0
aguas_claras,2024-02-05,4.7060929559373115,12.0
aguas_claras,2024-02-06,4.142572298815545,21.0
aguas_claras,2024-02-07,3.7540862588908124,18.0
aguas_claras,2024-02-08,3.78654645786189,23.0
aguas_claras,2024-02-09,4.024239439238983,16.0
aguas_claras,2024-02-10,3.3036281554200224,13.0
aguas_claras,2024-02-11,3.032024349732921,3.0
aguas_claras,2024-02-12,4.7060929559373115,10.0
aguas_claras,2024-02-13,4.142572298815545,13.0
aguas_claras,2024-02-14,3.9104367661343136,30.0
aguas_claras,2024-02-15,3.819244261076977,31.0
aguas_claras,2024-02-16,4.024239439238983,31.0
aguas_claras,2024-02-17,3.341753715205036,18.0
aguas_claras,2024-02-18,2.897295152524718,12.0
arniqueira,2023-12-02,1.5771311832310493,0.0
arniqueira,2023-12-03,1.455931935239891,0.0
arniqueira,2023-12-04,2.0424116539449364,0.0
arniqueira,2023-12-05,1.7818970867339923,0.0
