unique_id,ds,XGBRegressor,y
aguas_claras,2023-12-18,3.2697961,3.0
aguas_claras,2023-12-19,3.0601926,3.0
aguas_claras,2023-12-20,2.8965201,2.0
aguas_claras,2023-12-21,2.698448,3.0
aguas_claras,2023-12-22,2.8093348,2.0
aguas_claras,2023-12-23,2.4476132,3.0
aguas_claras,2023-12-24,2.465612,0.0
aguas_claras,2023-12-25,3.4508035,2.0
aguas_claras,2023-12-26,3.0306559,6.0
aguas_claras,2023-12-27,3.0127506,3.0
aguas_claras,2023-12-28,2.8286166,3.0
aguas_claras,2023-12-29,2.8738942,0.0
aguas_claras,2023-12-30,2.5997171,3.0
aguas_claras,2023-12-31,2.2666414,1.0
aguas_claras,2024-01-01,3.735016,1.0
aguas_claras,2024-01-02,3.4153762,1.0
aguas_claras,2024-01-03,3.420563,1.0
aguas_claras,2024-01-04,3.4669201,5.0
aguas_claras,2024-01-05,4.2957277,4.0
aguas_claras,2024-01-06,3.9898255,1.0
aguas_claras,2024-01-07,3.5328615,2.0
aguas_claras,2024-01-08,4.9578238,7.0
aguas_claras,2024-01-09,4.1205792,6.0
aguas_claras,2024-01-10,3.6810033,3.0
aguas_claras,2024-01-11,3.429126,3.0
aguas_claras,2024-01-12,4.08038,3.0
aguas_claras,2024-01-13,3.8671598,5.0
aguas_claras,2024-01-14,3.7288203,2.0
aguas_claras,2024-01-15,5.006943,5.0
aguas_claras,2024-01-16,4.3136644,4.0
aguas_claras,2024-01-17,3.5865204,8.0
aguas_claras,2024-01-18,3.437841,8.0
aguas_claras,2024-01-19,4.1132264,4.0
aguas_claras,2024-01-20,3.9683807,4.0
aguas_claras,2024-01-21,3.7460012,3.0
aguas_claras,2024-01-22,4.751953,6.0
aguas_claras,2024-01-23,4.336988,2.0
aguas_claras,2024-01-24,3.6810033,10.0
aguas_claras,2024-01-25,3.489398,5.0
aguas_claras,2024-01-26,4.087489,6.0
aguas_claras,2024-01-27,3.9749558,4.0
aguas_claras,2024-01-28,3.7176762,1.0
aguas_claras,2024-01-29,5.087846,8.0
aguas_claras,2024-01-30,4.3368745,9.0
aguas_claras,2024-01-31,3.5865204,11.0
aguas_claras,2024-02-01,3.292301,13.0
aguas_claras,2024-02-02,4.277864,14.0
aguas_claras,2024-02-03,3.8959801,6.0
aguas_claras,2024-02-04,3.4321132,6.0
aguas_claras,2024-02-05,4.9491296,12.0
aguas_claras,2024-02-06,4.457732,21.0
aguas_claras,2024-02-07,3.7138882,18.0
aguas_claras,2024-02-08,3.2850337,23.0
aguas_claras,2024-02-09,4.252127,16.0
aguas_claras,2024-02-10,3.8809137,13.0
aguas_claras,2024-02-11,3.4352512,3.0
aguas_claras,2024-02-12,5.1628623,10.0
aguas_claras,2024-02-13,4.294902,13.0
aguas_claras,2024-02-14,3.6013794,30.0
aguas_claras,2024-02-15,3.4163237,31.0
aguas_claras,2024-02-16,4.2740655,31.0
aguas_claras,2024-02-17,3.9247084,18.0
aguas_claras,2024-02-18,3.4495187,12.0
arniqueira,2023-12-02,1.2859639,0.0
arniqueira,2023-12-03,1.2343589,0.0
arniqueira,2023-12-04,1.6873738,0.0
arniqueira,2023-12-05,1.4661778,0.0
arniqueira,2023-12-06,1.4859846,0.0
arniqueira,2023-12-07,1.4452754,0.0
arniqueira,2023-12-08,1.4836609,0.0
arniqueira,2023-12-09,1.3987588,0.0
arniqueira,2023-12-10,1.3162233,0.0
arniqueira,2023-12-11,1.7498288,0.0
arniqueira,2023-12-12,1.5566142,0.0
arniqueira,2023-12-13,1.6136596,0.0
arniqueira,2023-12-14,1.4722873,0.0
arniqueira,2023-12-15,1.510673,0.0
arniqueira,2023-12-16,1.4218675,0.0
arniqueira,2023-12-17,1.3583099,0.0
arniqueira,2023-12-18,1.7498288,0.0
arniqueira,2023-12-19,1.5566142,0.0
arniqueira,2023-12-20,1.6136596,0.0
arniqueira,2023-12-21,1.4722873,0.0
arniqueira,2023-12-22,1.538636,1.0
arniqueira,2023-12-23,1.4218675,0.0
arniqueira,2023-12-24,1.3042003,0.0
arniqueira,2023-12-25,1.7498288,0.0
arniqueira,2023-12-26,1.5566142,0.0
arniqueira,2023-12-27,1.6083829,1.0
arniqueira,2023-12-28,1.4722873,0.0
arniqueira,2023-12-29,1.538636,0.0
arniqueira,2023-12-30,1.4218675,0.0
arniqueira,2023-12-31,1.3583099,1.0
arniqueira,2024-01-01,1.9193718,0.0
arniqueira,2024-01-02,1.6553079,0.0
arniqueira,2024-01-03,1.61918,0.0
arniqueira,2024-01-04,1.3861852,0.0
arniqueira,2024-01-05,1.9311228,0.0
arniqueira,2024-01-06,1.8244342,0.0
arniqueira,2024-01-07,1.753704,0.0
arniqueira,2024-01-08,2.4936235,0.0
arniqueira,2024-01-09,1.9249432,0.0
arniqueira,2024-01-10,1.7903821,0.0
arniqueira,2024-01-11,1.5731847,0.0
arniqueira,2024-01-12,2.0493548,0.0
arniqueira,2024-01-13,1.9508405,0.0
arniqueira,2024-01-14,1.7585869,0.0
arniqueira,2024-01-15,2.1777837,0.0
arniqueira,2024-01-16,1.9407411,0.0
arniqueira,2024-01-17,1.80618,0.0
arniqueira,2024-01-18,1.5731847,0.0
arniqueira,2024-01-19,1.9817631,0.0
arniqueira,2024-01-20,1.8428401,0.0
arniqueira,2024-01-21,1.7721096,0.0
arniqueira,2024-01-22,2.1777837,0.0
arniqueira,2024-01-23,1.9407411,0.0
arniqueira,2024-01-24,1.80618,0.0
arniqueira,2024-01-25,1.5731847,0.0
arniqueira,2024-01-26,2.0493548,0.0
arniqueira,2024-01-27,1.9508405,0.0
arniqueira,2024-01-28,1.7721096,0.0
arniqueira,2024-01-29,2.1777837,0.0
arniqueira,2024-01-30,1.9407411,0.0
arniqueira,2024-01-31,1.80618,0.0
arniqueira,2024-02-01,1.5195451,0.0
arniqueira,2024-02-02,1.9629984,0.0
brazlandia,2023-12-18,1.717227,0.0
brazlandia,2023-12-19,1.4661778,0.0
brazlandia,2023-12-20,1.4849658,1.0
brazlandia,2023-12-21,1.3446126,0.0
brazlandia,2023-12-22,1.515882,0.0
brazlandia,2023-12-23,1.4361955,0.0
brazlandia,2023-12-24,1.3414963,0.0
brazlandia,2023-12-25,1.9570776,0.0
brazlandia,2023-12-26,1.6577337,0.0
brazlandia,2023-12-27,1.612641,0.0
brazlandia,2023-12-28,1.4846869,0.0
brazlandia,2023-12-29,1.6761961,0.0
brazlandia,2023-12-30,1.4987677,1.0
brazlandia,2023-12-31,1.4578298,2.0
brazlandia,2024-01-01,2.4223735,0.0
brazlandia,2024-01-02,2.0159001,0.0
brazlandia,2024-01-03,1.8747108,0.0
brazlandia,2024-01-04,1.6294503,0.0
brazlandia,2024-01-05,2.1135821,0.0
brazlandia,2024-01-06,2.0075076,0.0
brazlandia,2024-01-07,1.8682846,0.0
brazlandia,2024-01-08,2.3299243,2.0
brazlandia,2024-01-09,1.9947015,1.0
brazlandia,2024-01-10,1.8688008,0.0
brazlandia,2024-01-11,1.6799569,0.0
brazlandia,2024-01-12,2.0354245,0.0
brazlandia,2024-01-13,1.8357482,0.0
brazlandia,2024-01-14,1.7721096,0.0
brazlandia,2024-01-15,2.1777837,0.0
brazlandia,2024-01-16,1.9407411,1.0
brazlandia,2024-01-17,1.8830758,1.0
brazlandia,2024-01-18,1.5731847,1.0
brazlandia,2024-01-19,1.9817631,1.0
brazlandia,2024-01-20,1.8842915,0.0
brazlandia,2024-01-21,1.7721096,1.0
brazlandia,2024-01-22,2.3299243,1.0
brazlandia,2024-01-23,1.9407411,1.0
brazlandia,2024-01-24,1.80618,2.0
brazlandia,2024-01-25,1.5731847,3.0
brazlandia,2024-01-26,2.0493548,2.0
brazlandia,2024-01-27,1.9508405,0.0
brazlandia,2024-01-28,1.7721096,4.0
brazlandia,2024-01-29,2.1777837,0.0
brazlandia,2024-01-30,1.9407411,6.0
brazlandia,2024-01-31,1.80618,1.0
brazlandia,2024-02-01,1.5195451,4.0
brazlandia,2024-02-02,1.9629984,5.0
brazlandia,2024-02-03,1.7513266,2.0
brazlandia,2024-02-04,1.6083691,4.0
brazlandia,2024-02-05,2.0081923,3.0
brazlandia,2024-02-06,1.8917763,8.0
brazlandia,2024-02-07,1.7367425,4.0
brazlandia,2024-02-08,1.5037473,3.0
brazlandia,2024-02-09,1.9493176,3.0
brazlandia,2024-02-10,1.7513266,6.0
brazlandia,2024-02-11,1.6083691,2.0
brazlandia,2024-02-12,2.0081923,5.0
brazlandia,2024-02-13,1.8917763,2.0
brazlandia,2024-02-14,1.7367425,3.0
brazlandia,2024-02-15,1.5037473,2.0
brazlandia,2024-02-16,1.9493176,2.0
brazlandia,2024-02-17,1.7513266,3.0
brazlandia,2024-02-18,1.6083691,0.0
candangolandia,2023-12-08,1.5701978,0.0
candangolandia,2023-12-09,1.3090726,0.0
candangolandia,2023-12-10,1.2636234,0.0
candangolandia,2023-12-11,1.7103312,0.0
candangolandia,2023-12-12,1.6112053,0.0
candangolandia,2023-12-13,1.5866476,0.0
candangolandia,2023-12-14,1.4722873,0.0
candangolandia,2023-12-15,1.510673,0.0
candangolandia,2023-12-16,1.4218675,0.0
candangolandia,2023-12-17,1.3583099,0.0
